,Product URL,Catalog Image
94,https://www.corporategear.com/peter-millar-men-s-flex-adapt-half-zip-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/200021-110.jpg"",""/resources/parsonskellogg/product/medium/200021-410.jpg""]"
95,https://www.corporategear.com/patagonia-men-s-better-sweater-1-4-zip.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1043602_25523_sth.jpg"",""/resources/parsonskellogg/product/medium/1043594_25523_nkl.jpg"",""/resources/parsonskellogg/product/medium/1043578_25523_nena.jpg"",""/resources/parsonskellogg/product/medium/1043642_25523_pigr.jpg"",""/resources/parsonskellogg/product/medium/1043570_25523_blk.jpg"",""/resources/parsonskellogg/product/medium/1043626_25523_ldbr.jpg""]"
97,https://www.corporategear.com/peter-millar-men-s-perth-performance-melange-quarter-zip.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/637654088584845166_1006109_5723231_swatch_blw.jpg"",""/resources/parsonskellogg/product/medium/nf0a3lhb-blk.jpg"",""/resources/parsonskellogg/product/medium/nf0a3lhb-agh.jpg"",""/resources/parsonskellogg/product/medium/nf0a3lhb-crd.jpg"",""/resources/parsonskellogg/product/medium/nf0a3lhb-lgr.jpg"",""/resources/parsonskellogg/product/medium/nf0a3lhb-nvy.jpg"",""/resources/parsonskellogg/product/medium/nf0a3lhb-blu.jpg"",""/resources/parsonskellogg/product/medium/1006109_5694807_color_bog.jpg"",""/resources/parsonskellogg/product/medium/nf0a3lhb-org.jpg""]"
99,https://www.corporategear.com/the-north-face-men-s-tech-1-4-zip.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1005363_5687639_color_irw.jpg"",""/resources/parsonskellogg/product/medium/1005363_5687632_color_cbl.jpg"",""/resources/parsonskellogg/product/medium/1005363_5687646_color_nvw.jpg""]"
101,https://www.corporategear.com/the-north-face-men-s-tech-1-4-zip.html,"[""/resources/parsonskellogg/product/medium/637970274360890765_1007925_5709733_swatch_6307.png"",""/resources/parsonskellogg/product/medium/637970274419345189_1007925_5709740_swatch_6313.png""]"
102,https://www.corporategear.com/under-armour-men-s-tech-1-4-zip.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/637544312629835338_1006841_5711843_swatch_657.jfif"",""/resources/parsonskellogg/product/medium/cn9492-010.jpg"",""/resources/parsonskellogg/product/medium/cn9492-060.jpg"",""/resources/parsonskellogg/product/medium/cn9492-419.jpg"",""/resources/parsonskellogg/product/medium/cn9492-493.jpg"",""/resources/parsonskellogg/product/medium/cn9492-545.jpg"",""/resources/parsonskellogg/product/medium/cn9492-669.jpg"",""/resources/parsonskellogg/product/medium/cn9492-610.jpg""]"
104,https://www.corporategear.com/peter-millar-men-s-perth-sugar-stripe-1-4-zip.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1006785_5699377_color_599.png"",""/resources/parsonskellogg/product/medium/1006785_5699383_color_854.png""]"
106,https://www.corporategear.com/adidas-men-s-under-the-lights-long-sleeve-1-4-zip-knit.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1007998_5710261_color_gre.jpg"",""/resources/parsonskellogg/product/medium/1007998_5710262_color_nvy.jpg""]"
108,https://www.corporategear.com/vineyard-vines-men-s-blank-saltwater-1-4-zip.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1k001863-6306.jpg"",""/resources/parsonskellogg/product/medium/1k001863-6315.jpg"",""/resources/parsonskellogg/product/medium/1k001863-6307.jpg""]"
110,https://www.corporategear.com/nike-men-s-therma-long-sleeve-training-top.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/478499_eb234_black_flat_front.jpg"",""/resources/parsonskellogg/product/medium/478509_eb234_riverbluegreyprint_flat_front.jpg"",""/resources/parsonskellogg/product/medium/478528_eb234_ascentblue_flat_front.jpg""]"
112,https://www.corporategear.com/foot-joy-men-s-1-4-zip-pullover.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1005249_5685763_color_010.png"",""/resources/parsonskellogg/product/medium/1005249_5685769_color_060.png"",""/resources/parsonskellogg/product/medium/1005249_5685775_color_419.png"",""/resources/parsonskellogg/product/medium/1005249_5685781_color_493.png"",""/resources/parsonskellogg/product/medium/1005249_5685787_color_657.png"",""/resources/parsonskellogg/product/medium/cn9511-610.jpg"",""/resources/parsonskellogg/product/medium/cn9511-669.jpg"",""/resources/parsonskellogg/product/medium/cn9511-341.jpg"",""/resources/parsonskellogg/product/medium/cn9511-545.jpg""]"
114,https://www.corporategear.com/helly-hansen-men-s-1-2-zip-pullover.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/48365-001.jpg"",""/resources/parsonskellogg/product/medium/48365-597.jpg"",""/resources/parsonskellogg/product/medium/48365-930.jpg""]"
116,https://www.corporategear.com/johnnie-o-men-s-flex-1-4-zip-pullover.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/655f-cg1389.jpg"",""/resources/parsonskellogg/product/medium/655f-s97363.jpg"",""/resources/parsonskellogg/product/medium/655f-s97364.jpg"",""/resources/parsonskellogg/product/medium/655f-s97365.jpg"",""/resources/parsonskellogg/product/medium/655f-s97366.jpg"",""/resources/parsonskellogg/product/medium/655f-s97367.jpg""]"
118,https://www.corporategear.com/zero-restriction-men-s-z425-1-4-zip-pullover.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/j11500-mre.jpg"",""/resources/parsonskellogg/product/medium/j11500-gre.jpg""]"
