Product URL,Catalog Image
https://www.corporategear.com/peter-millar-men-s-autumn-crest-quarter-zip-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22ek86-blk.jpg"",""/resources/parsonskellogg/product/medium/mf22ek86-spt.jpg""]"
https://www.corporategear.com/peter-millar-men-s-autumn-crest-quarter-zip-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22xz02-nvy.jpg"",""/resources/parsonskellogg/product/medium/mf22xz02-stl.jpg""]"
https://www.corporategear.com/eddie-bauer-men-s-stretch-soft-shell-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22ez46-bri.jpg"",""/resources/parsonskellogg/product/medium/mf22ez46-irn.jpg"",""/resources/parsonskellogg/product/medium/mf22ez46-grn.jpg""]"
https://www.corporategear.com/eddie-bauer-men-s-stretch-soft-shell-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22xz59-gry.jpg""]"
https://www.corporategear.com/ogio-men-s-grit-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/30270-597.jpg"",""/resources/parsonskellogg/product/medium/30270-990.jpg"",""/resources/parsonskellogg/product/medium/30270-853.jpg"",""/resources/parsonskellogg/product/medium/30270-001.jpg""]"
https://www.corporategear.com/ogio-men-s-grit-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1504891_8502541_color_blk.jpeg"",""/resources/parsonskellogg/product/medium/1504891_8502569_color_mgy.jpeg"",""/resources/parsonskellogg/product/medium/1504891_8502576_color_gry.jpeg""]"
https://www.corporategear.com/peter-millar-men-s-crown-sweater-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/965776_ctv01_black_flat_front.jpg"",""/resources/parsonskellogg/product/medium/965785_ctv01_carharttbrown_flat_front.jpg""]"
https://www.corporategear.com/peter-millar-men-s-crown-sweater-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/v812_021.jpg"",""/resources/parsonskellogg/product/medium/v812_051.jpg""]"
https://www.corporategear.com/peter-millar-men-s-solid-micro-shearling-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1007969_5710089_color_002.jpg"",""/resources/parsonskellogg/product/medium/1007969_5710096_color_0410.jpg"",""/resources/parsonskellogg/product/medium/637847729776608824_1007969_5744749_swatch_928.jfif""]"
https://www.corporategear.com/peter-millar-men-s-solid-micro-shearling-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1007967_5710075_color_002.jpg"",""/resources/parsonskellogg/product/medium/1007967_5710082_color_0410.jpg""]"
https://www.corporategear.com/peter-millar-men-s-stealth-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/j325-blk.jpg"",""/resources/parsonskellogg/product/medium/j325-nvy.jpg"",""/resources/parsonskellogg/product/medium/j325-gry.jpg""]"
https://www.corporategear.com/peter-millar-men-s-stealth-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/ct104277-blk.jpg"",""/resources/parsonskellogg/product/medium/ct104277-brn.jpg"",""/resources/parsonskellogg/product/medium/ct104277-gry.jpg""]"
https://www.corporategear.com/peter-millar-men-s-printed-micro-shearling-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/637727392531300784_1011028_5733948_color_990.jpg"",""/resources/parsonskellogg/product/medium/637727392553854551_1011028_5733957_color_590.jpg""]"
https://www.corporategear.com/peter-millar-men-s-printed-micro-shearling-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/637727579408752320_1011118_5734515_color_597.png"",""/resources/parsonskellogg/product/medium/62916-990.jpg""]"
https://www.corporategear.com/peter-millar-men-s-galway-performance-1-4-zip-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/62940-991.jpg""]"
https://www.corporategear.com/peter-millar-men-s-galway-performance-1-4-zip-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/200028-410.jpg"",""/resources/parsonskellogg/product/medium/200028-116.jpg""]"
https://www.corporategear.com/fairway-greene-men-s-baruffa-1-4-zip-windvest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/638004943487182132_1012126_5771480_swatch_2896.jpg""]"
